questionID,criteria 1,criteria 2,criteria 3,criteria 4,criteria 5
64cbe1c0462fc41ee881373c,2,4,,,1
64cbe364462fc41ee881387c,2,,,,
64cbe415462fc41ee8813900,2,4,,,
64cbe122462fc41ee88136c4,2,,,,
64cd3ed4cf51bcb2f5e84b8b,2,4,,,
64cbe2f9462fc41ee881382c,2,,,,
64cbff086ed968df390fb99b,2,,,,
64cbe359462fc41ee8813874,2,,,,
64cbf8604abbe7f75a6d14cc,2,,,,
64cbf752239ed5a2ef5c72f3,2,,,,
64cbff0b6ed968df390fb9c1,2,,,,
64cbe251462fc41ee88137b0,2,,,,
64cbf7b2239ed5a2ef5c734f,2,,,,
64cbff286ed968df390fbb01,2,,,,
64cbf7ae239ed5a2ef5c734b,2,,1,1,
64cbe1a0462fc41ee8813726,2,,2,1,
64cbff3a6ed968df390fbbcb,1,1,,,
64cbff4a6ed968df390fbc65,1,,,,
64cbff0b6ed968df390fb9bf,2,,,1,
64cbdeaad7d2c93ce9c0bdc3,2,,,,
64cbff186ed968df390fba4d,1,,,,
64cbf750239ed5a2ef5c72f1,1,4,,,
64cbff0f6ed968df390fb9ef,1,,,,
64cbff066ed968df390fb989,1,,,,
64cbff0f6ed968df390fb9eb,1,,,,
64cbff426ed968df390fbc23,1,,,,
64cbdfd2b517122ebabc7008,1,,,2,
64cbe224462fc41ee881378c,1,,,2,
64cbff416ed968df390fbc17,1,,,,
64cbe3c4462fc41ee88138c4,1,,,,
64cbf8264abbe7f75a6d1496,1,,,,
64cbe424462fc41ee881390c,1,,,,
64cbdffbb517122ebabc7026,1,,,,
64cbff436ed968df390fbc29,1,1,1,,1
64cbe2d4462fc41ee8813812,1,,,,
64cbe018b517122ebabc703e,1,,,,
64cbde26d7d2c93ce9c0bd65,1,,,,
64cbe183462fc41ee8813710,1,,,,
64cbf778239ed5a2ef5c7317,1,,,,1
64cbe0c8a284eff4a028e98e,1,,1,,
64cbff1f6ed968df390fba99,1,,1,1,
64cbdfcdb517122ebabc7006,1,,1,2,
64cbff346ed968df390fbb81,1,,1,,
64cbff0e6ed968df390fb9dd,1,,,,
64cbe2c2462fc41ee8813804,1,,,1,
64cbe31b462fc41ee8813844,1,,1,2,
64cbf77b239ed5a2ef5c7319,1,,1,,
64cbff2b6ed968df390fbb1f,1,,1,1,
64cbff526ed968df390fbcb3,1,,2,1,
64cbff296ed968df390fbb0d,1,,1,1,
64cbff1a6ed968df390fba6b,,,1,1,
64cbe327462fc41ee881384e,,,1,,
64cbdff6b517122ebabc7022,,,2,,
64cbe273462fc41ee88137ca,,3,3,,
64cbde37d7d2c93ce9c0bd6f,,,1,,
64cbe1de462fc41ee8813756,,3,3,,
64cbe2f7462fc41ee881382a,,,3,1,
64cd3ef5cf51bcb2f5e84ba7,,,1,1,
64cbff026ed968df390fb95d,,,1,,
64cbf79a239ed5a2ef5c7337,,,1,,1
64cbff2f6ed968df390fbb4d,,,1,,1
64cbdeb8d7d2c93ce9c0bdcb,,,1,,
64cbe386462fc41ee8813896,,,1,,
64cbe175462fc41ee8813706,,,1,,
64cbff416ed968df390fbc11,,,1,,
64cbff0c6ed968df390fb9cf,,,1,,
64cbf75f239ed5a2ef5c72ff,,,1,,
64cd3ef6cf51bcb2f5e84ba9,,,1,,
64cd3eedcf51bcb2f5e84ba1,,,1,,
64cd3eeacf51bcb2f5e84b9f,,,1,,
64cd3ee8cf51bcb2f5e84b9d,,,1,,2
64cd3ee5cf51bcb2f5e84b99,,,1,,
64cd3ee3cf51bcb2f5e84b97,,,1,,
64cd3ee0cf51bcb2f5e84b95,,,1,,
64cd3edccf51bcb2f5e84b91,,,1,,
64cd3ed9cf51bcb2f5e84b8f,,1,1,,
64cd3e41697b927cbfb0c209,,,1,,
64cd3e3e697b927cbfb0c207,,1,1,,
64cbff5e6ed968df390fbd3b,,,1,,
64cbff5d6ed968df390fbd37,,,2,2,
64cbff5d6ed968df390fbd31,,,1,,
