,Unnamed: 0,questionID,criteria 1,criteria 2,criteria 3,criteria 4,criteria 5,auto 1,auto 2,auto 3,auto 4,auto 5
0,0,64cbe1c0462fc41ee881373c,2,4,,,1,1,1,,,2
1,1,64cbe364462fc41ee881387c,2,,,,,1,,,,
2,2,64cbe415462fc41ee8813900,2,4,,,,1,2,,,
3,3,64cbe122462fc41ee88136c4,2,,,,,1,,,,
4,4,64cd3ed4cf51bcb2f5e84b8b,2,4,,,,2,1,,,
5,5,64cbe2f9462fc41ee881382c,2,,,,,1,,,,
6,6,64cbff086ed968df390fb99b,2,,,,,1,,,,
7,7,64cbe359462fc41ee8813874,2,,,,,1,,,,
8,8,64cbf8604abbe7f75a6d14cc,2,,,,,1,,,,
9,9,64cbf752239ed5a2ef5c72f3,2,,,,,1,,,,
10,10,64cbff0b6ed968df390fb9c1,2,,,,,2,,,,
11,11,64cbe251462fc41ee88137b0,2,,,,,1,,,,
12,12,64cbf7b2239ed5a2ef5c734f,2,,,,,2,,,,
13,13,64cbff286ed968df390fbb01,2,,,,,2,,,,
14,14,64cbf7ae239ed5a2ef5c734b,2,,1,1,,1,,3,2,
15,15,64cbe1a0462fc41ee8813726,2,,2,1,,1,,3,2,
16,16,64cbff3a6ed968df390fbbcb,1,1,,,,1,1,,,
17,17,64cbff4a6ed968df390fbc65,1,,,,,1,,,,
18,18,64cbff0b6ed968df390fb9bf,2,,,1,,1,,,2,
19,19,64cbdeaad7d2c93ce9c0bdc3,2,,,,,1,,,,
20,20,64cbff186ed968df390fba4d,1,,,,,1,,,,
21,21,64cbf750239ed5a2ef5c72f1,1,4,,,,1,2,,,
22,22,64cbff0f6ed968df390fb9ef,1,,,,,1,,,,
23,23,64cbff066ed968df390fb989,1,,,,,2,,,,
24,24,64cbff0f6ed968df390fb9eb,1,,,,,1,,,,
25,25,64cbff426ed968df390fbc23,1,,,,,1,,,,
26,26,64cbdfd2b517122ebabc7008,1,,,2,,1,,,2,
27,27,64cbe224462fc41ee881378c,1,,,2,,1,,,2,
28,28,64cbff416ed968df390fbc17,1,,,,,2,,,,
29,29,64cbe3c4462fc41ee88138c4,1,,,,,1,,,,
30,30,64cbf8264abbe7f75a6d1496,1,,,,,1,,,,
31,31,64cbe424462fc41ee881390c,1,,,,,1,,,,
32,32,64cbdffbb517122ebabc7026,1,,,,,1,,,,
33,33,64cbff436ed968df390fbc29,1,1,1,,1,1,2,3,,1
34,34,64cbe2d4462fc41ee8813812,1,,,,,1,,,,
35,35,64cbe018b517122ebabc703e,1,,,,,1,,,,
36,36,64cbde26d7d2c93ce9c0bd65,1,,,,,1,,,,
37,37,64cbe183462fc41ee8813710,1,,,,,1,,,,
38,38,64cbf778239ed5a2ef5c7317,1,,,,1,1,,,,1
39,39,64cbe0c8a284eff4a028e98e,1,,1,,,1,,3,,
40,40,64cbff1f6ed968df390fba99,1,,1,1,,2,,3,2,
