questionID,criteria 3,auto_criteria_3
64cbe1a0462fc41ee8813726,2,1
64cbff526ed968df390fbcb3,2,2
64cbff2b6ed968df390fbb1f,2,1
64cbff1a6ed968df390fba6b,2,1
64cbe327462fc41ee881384e,2,2
64cbdff6b517122ebabc7022,2,1
64cbe273462fc41ee88137ca,3,3
64cbde37d7d2c93ce9c0bd6f,2,1
64cbe1de462fc41ee8813756,3,3
64cbe2f7462fc41ee881382a,2,1
64cd3ef5cf51bcb2f5e84ba7,2,1
64cbff026ed968df390fb95d,1,1
64cbf79a239ed5a2ef5c7337,1,1
64cbff2f6ed968df390fbb4d,1,1
64cbff436ed968df390fbc29,1,2
64cbff346ed968df390fbb81,1,1
64cbdfcdb517122ebabc7006,1,1
64cbff1f6ed968df390fba99,1,2
64cbe0c8a284eff4a028e98e,1,2
64cbdeb8d7d2c93ce9c0bdcb,1,2
64cbff296ed968df390fbb0d,1,1
64cbf7ae239ed5a2ef5c734b,1,1
64cbf77b239ed5a2ef5c7319,1,1
64cbe31b462fc41ee8813844,1,1
64cbe386462fc41ee8813896,1,2
64cbe175462fc41ee8813706,1,1
64cbff416ed968df390fbc11,1,1
64cbff0c6ed968df390fb9cf,1,1
64cbf75f239ed5a2ef5c72ff,1,1
64cd3ef6cf51bcb2f5e84ba9,1,1
64cd3eedcf51bcb2f5e84ba1,1,1
64cd3eeacf51bcb2f5e84b9f,1,1
64cd3ee8cf51bcb2f5e84b9d,1,1
64cd3ee5cf51bcb2f5e84b99,1,1
64cd3ee3cf51bcb2f5e84b97,1,2
64cd3ee0cf51bcb2f5e84b95,1,2
64cd3edccf51bcb2f5e84b91,1,1
64cd3ed9cf51bcb2f5e84b8f,1,1
64cd3e41697b927cbfb0c209,1,1
64cd3e3e697b927cbfb0c207,1,1
64cbff5e6ed968df390fbd3b,1,2
64cbff5d6ed968df390fbd37,1,1
64cbff5d6ed968df390fbd31,1,1
64cbff5d6ed968df390fbd2f,1,1
64cbff5d6ed968df390fbd2d,1,1
64cbff5c6ed968df390fbd27,1,1
64cbff5b6ed968df390fbd1f,1,2
64cbff5b6ed968df390fbd1d,1,1
64cbff5b6ed968df390fbd17,1,2
64cbff5a6ed968df390fbd13,1,2
