,questionID,criteria 5,auto_criteria_5
0,64cbe1c0462fc41ee881373c,1,1
1,64cbff2d6ed968df390fbb33,1,1
2,64cbe238462fc41ee881379e,1,1
3,64cbe10e462fc41ee88136b8,1,1
4,64cbf7c2239ed5a2ef5c735f,1,1
5,64cbe2be462fc41ee8813800,1,1
6,64cbff0c6ed968df390fb9cd,1,2
7,64cbdda3d7d2c93ce9c0bd0b,1,1
8,64cd3ee8cf51bcb2f5e84b9d,1,1
9,64cbde74d7d2c93ce9c0bd9d,1,1
10,64cbde33d7d2c93ce9c0bd6d,1,1
11,64cbe232462fc41ee8813798,1,1
12,64cbff3b6ed968df390fbbcd,1,1
13,64cbff556ed968df390fbcd9,1,1
14,64cbe3e2462fc41ee88138da,1,1
15,64cbf79a239ed5a2ef5c7337,1,1
16,64cbff2f6ed968df390fbb4d,1,1
17,64cbf778239ed5a2ef5c7317,1,1
18,64cbff436ed968df390fbc29,1,1
19,64cbff056ed968df390fb97f,1,1
20,64cbff4a6ed968df390fbc6b,1,1
21,64cbf8294abbe7f75a6d149a,1,1
22,64cbff226ed968df390fbac3,2,2
23,64cbff326ed968df390fbb71,2,2
24,64cbff406ed968df390fbc03,2,2
25,64cbde6ad7d2c93ce9c0bd95,2,2
26,64cbff496ed968df390fbc5d,2,2
27,64cbff2c6ed968df390fbb2d,2,2
28,64cbff446ed968df390fbc35,2,2
29,64cbff2c6ed968df390fbb2b,2,1
30,64cbde29d7d2c93ce9c0bd67,4,1
31,64cbff5d6ed968df390fbd2f,4,4
32,64cbe2ef462fc41ee8813824,4,4
33,64cbe319462fc41ee8813842,4,4
34,64cbf7c7239ed5a2ef5c7363,4,4
35,64cbde31d7d2c93ce9c0bd6b,4,4
36,64cbf8684abbe7f75a6d14d4,4,4
37,64cbe023b517122ebabc7046,4,4
38,64cbff566ed968df390fbce3,4,4
39,64cbe27c462fc41ee88137d2,4,4
40,64cbff296ed968df390fbb09,4,4
41,64cbe3d2462fc41ee88138ce,4,4
42,64cbe170462fc41ee8813700,4,4
43,64cbff5d6ed968df390fbd2d,4,4
44,64cbf7b4239ed5a2ef5c7351,4,4
45,64cbff096ed968df390fb9a5,4,4
46,64cbf787239ed5a2ef5c7325,4,4
47,64cbff586ed968df390fbcf9,4,4
48,64cbdd90d7d2c93ce9c0bcfd,4,4
49,64cbff026ed968df390fb961,4,4
